vehicle_number,lap,timestamp,lap_time,cumulative_time,position,gap_to_leader,gap_to_ahead,gap_to_behind,gap_delta_ahead,gap_delta_behind,is_fighting,laps_remaining,race_progress,fuel_load_estimate,prev_lap_time,rolling_avg_3,lap_time_diff,air_temp,track_temp,humidity,pressure,wind_speed,is_under_yellow,top_speed,track,track_name,race_num,race_id
7,2,2025-09-06 18:42:28.534000+00:00,106.466,106.466,1,0.0,0.0,0.599,0.0,0.0,True,18,0.1,0.9,106.466,106.466,0.0,30.16720930232558,0.0,55.655348837209296,992.4860465116282,4.0269767441860465,1,132.0,barber,Barber Motorsports Park,1,barber_r1
31,2,2025-09-06 18:42:29.133000+00:00,107.072,107.072,2,0.599,0.599,1.7349999999999999,0.0,0.0,True,18,0.1,0.9,107.072,107.072,0.0,30.16720930232558,0.0,55.655348837209296,992.4860465116282,4.0269767441860465,1,130.1,barber,Barber Motorsports Park,1,barber_r1
46,2,2025-09-06 18:42:30.868000+00:00,108.907,108.907,3,2.334,1.7349999999999999,3.423,0.0,0.0,False,18,0.1,0.9,108.907,108.907,0.0,30.16720930232558,0.0,55.655348837209296,992.4860465116282,4.0269767441860465,1,134.2,barber,Barber Motorsports Park,1,barber_r1
93,2,2025-09-06 18:42:34.291000+00:00,111.063,111.063,4,5.757,3.423,4.096,0.0,0.0,False,18,0.1,0.9,111.063,111.063,0.0,30.16720930232558,0.0,55.655348837209296,992.4860465116282,4.0269767441860465,1,139.2,barber,Barber Motorsports Park,1,barber_r1
88,2,2025-09-06 18:42:38.387000+00:00,115.65,115.65,5,9.853,4.096,60.0,0.0,0.0,False,18,0.1,0.9,115.65,115.65,0.0,30.16720930232558,0.0,55.655348837209296,992.4860465116282,4.0269767441860465,1,156.1,barber,Barber Motorsports Park,1,barber_r1
13,3,2025-09-06 18:42:23.575000+00:00,102.307,102.307,1,0.0,0.0,0.546,0.0,0.0,True,17,0.15,0.85,102.307,102.307,0.0,30.16720930232558,0.0,55.655348837209296,992.4860465116282,4.0269767441860465,0,138.1,barber,Barber Motorsports Park,1,barber_r1
72,3,2025-09-06 18:42:24.121000+00:00,102.734,102.734,2,0.546,0.546,0.238,0.0,0.0,True,17,0.15,0.85,102.734,102.734,0.0,30.16720930232558,0.0,55.655348837209296,992.4860465116282,4.0269767441860465,0,149.2,barber,Barber Motorsports Park,1,barber_r1
16,3,2025-09-06 18:42:24.359000+00:00,102.806,102.806,3,0.784,0.238,1.145,0.0,0.0,True,17,0.15,0.85,102.806,102.806,0.0,30.16720930232558,0.0,55.655348837209296,992.4860465116282,4.0269767441860465,0,184.3,barber,Barber Motorsports Park,1,barber_r1
0,3,2025-09-06 18:42:25.504000+00:00,103.729,103.729,4,1.929,1.145,0.636,0.0,0.0,True,17,0.15,0.85,103.729,103.729,0.0,30.16720930232558,0.0,55.655348837209296,992.4860465116282,4.0269767441860465,0,184.3,barber,Barber Motorsports Park,1,barber_r1
47,3,2025-09-06 18:42:26.140000+00:00,104.541,104.541,5,2.565,0.636,0.741,0.0,0.0,True,17,0.15,0.85,104.541,104.541,0.0,30.16720930232558,0.0,55.655348837209296,992.4860465116282,4.0269767441860465,0,145.2,barber,Barber Motorsports Park,1,barber_r1
