corner_id,latitude,longitude,max_brake,median_brake,n_observations,corner_type
1,39.78901481628418,-86.23528289794922,92.995,49.55,26,heavy
2,39.7880973815918,-86.23454284667969,104.44,69.5075,68,heavy
3,39.78812217712402,-86.23385620117188,90.415,68.79249999999999,10,heavy
4,39.793142318725586,-86.2350082397461,105.43,71.63,72,heavy
5,39.792259216308594,-86.23403549194336,39.495,25.667499999999997,2,medium
6,39.79191589355469,-86.2330322265625,45.215,32.68,4,medium
7,39.791603088378906,-86.23207473754883,59.775,37.3625,10,medium
8,39.79537010192871,-86.2350082397461,26.905,20.6025,2,light
9,39.796037673950195,-86.23503875732422,40.655,26.6075,2,medium
10,39.80101776123047,-86.23693084716797,92.46,57.042500000000004,34,heavy
11,39.800628662109375,-86.2374267578125,30.335,26.009999999999998,2,medium
12,39.79989814758301,-86.23766326904297,27.865,23.5375,2,light
13,39.79832458496094,-86.23902130126953,105.155,69.495,81,heavy
