vehicle_number,lap,timestamp,lap_time,cumulative_time,position,gap_to_leader,gap_to_ahead,gap_to_behind,gap_delta_ahead,gap_delta_behind,is_fighting,laps_remaining,race_progress,fuel_load_estimate,prev_lap_time,rolling_avg_3,lap_time_diff,air_temp,track_temp,humidity,pressure,wind_speed,is_under_yellow,top_speed,track,track_name,race_num,race_id
33,2,2025-04-26 20:58:37.690000+00:00,223.469,223.469,1,0.0,0.0,0.204,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.469,223.469,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
6,2,2025-04-26 20:58:37.894000+00:00,223.551,223.551,2,0.204,0.204,0.03,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.551,223.551,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
22,2,2025-04-26 20:58:37.924000+00:00,223.53,223.53,3,0.234,0.03,0.291,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.53,223.53,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
28,2,2025-04-26 20:58:38.215000+00:00,222.887,222.887,4,0.525,0.291,0.071,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,222.887,222.887,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
10,2,2025-04-26 20:58:38.286000+00:00,223.555,223.555,5,0.596,0.071,0.309,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.555,223.555,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
16,2,2025-04-26 20:58:38.595000+00:00,223.8,223.8,6,0.905,0.309,0.036,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.8,223.8,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,205.3,cota,Circuit of the Americas,1,cota_r1
26,2,2025-04-26 20:58:38.631000+00:00,223.639,223.639,7,0.941,0.036,0.113,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.639,223.639,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
24,2,2025-04-26 20:58:38.744000+00:00,223.266,223.266,8,1.054,0.113,0.12,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.266,223.266,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
47,2,2025-04-26 20:58:38.864000+00:00,223.615,223.615,9,1.174,0.12,0.14,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.615,223.615,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,206.9,cota,Circuit of the Americas,1,cota_r1
36,2,2025-04-26 20:58:39.004000+00:00,223.314,223.314,10,1.314,0.14,0.169,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.314,223.314,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
4,2,2025-04-26 20:58:39.173000+00:00,223.639,223.639,11,1.483,0.169,0.124,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.639,223.639,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
25,2,2025-04-26 20:58:39.297000+00:00,223.281,223.281,12,1.607,0.124,0.061,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.281,223.281,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
15,2,2025-04-26 20:58:39.358000+00:00,223.681,223.681,13,1.6680000000000001,0.061,0.178,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.681,223.681,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,197.8,cota,Circuit of the Americas,1,cota_r1
63,2,2025-04-26 20:58:39.536000+00:00,223.565,223.565,14,1.846,0.178,0.09,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.565,223.565,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
38,2,2025-04-26 20:58:39.626000+00:00,223.0,223.0,15,1.936,0.09,0.05,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.0,223.0,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
65,2,2025-04-26 20:58:39.676000+00:00,223.509,223.509,16,1.986,0.05,0.345,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.509,223.509,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
49,2,2025-04-26 20:58:40.021000+00:00,223.638,223.638,17,2.331,0.345,0.109,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.638,223.638,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
29,2,2025-04-26 20:58:40.130000+00:00,223.146,223.146,18,2.44,0.109,0.034,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.146,223.146,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
37,2,2025-04-26 20:58:40.164000+00:00,222.905,222.905,19,2.474,0.034,0.144,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,222.905,222.905,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
13,2,2025-04-26 20:58:40.308000+00:00,221.801,221.801,20,2.618,0.144,0.316,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,221.801,221.801,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,204.5,cota,Circuit of the Americas,1,cota_r1
41,2,2025-04-26 20:58:40.624000+00:00,221.208,221.208,21,2.934,0.316,0.159,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,221.208,221.208,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,206.9,cota,Circuit of the Americas,1,cota_r1
35,2,2025-04-26 20:58:40.783000+00:00,223.2,223.2,22,3.093,0.159,0.164,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,223.2,223.2,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
40,2,2025-04-26 20:58:40.947000+00:00,222.841,222.841,23,3.257,0.164,0.324,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,222.841,222.841,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
61,2,2025-04-26 20:58:41.271000+00:00,224.338,224.338,24,3.581,0.324,0.01,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,224.338,224.338,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
21,2,2025-04-26 20:58:41.281000+00:00,221.89,221.89,25,3.591,0.01,0.415,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,221.89,221.89,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.8,cota,Circuit of the Americas,1,cota_r1
30,2,2025-04-26 20:58:41.696000+00:00,221.069,221.069,26,4.006,0.415,0.094,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,221.069,221.069,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
57,2,2025-04-26 20:58:41.790000+00:00,221.119,221.119,27,4.1,0.094,0.419,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,221.119,221.119,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,202.2,cota,Circuit of the Americas,1,cota_r1
12,2,2025-04-26 20:58:42.209000+00:00,221.122,221.122,28,4.519,0.419,60.0,0.0,0.0,True,13,0.13333333333333333,0.8666666666666667,221.122,221.122,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
51,2,2025-04-26 21:35:51.462000+00:00,150.599,150.599,29,2233.772,2229.253,60.0,0.0,0.0,False,13,0.13333333333333333,0.8666666666666667,150.599,150.599,0.0,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,202.2,cota,Circuit of the Americas,1,cota_r1
33,3,2025-04-26 21:01:09.385000+00:00,151.695,375.164,1,0.0,0.0,0.351,0.0,0.0,True,12,0.2,0.8,223.469,187.582,-71.774,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
6,3,2025-04-26 21:01:09.736000+00:00,151.842,375.39300000000003,2,0.351,0.351,0.42,0.0,0.0,True,12,0.2,0.8,223.551,187.69650000000001,-71.70899999999997,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
10,3,2025-04-26 21:01:10.156000+00:00,151.87,375.425,3,0.771,0.42,0.408,0.0,0.0,True,12,0.2,0.8,223.555,187.7125,-71.685,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
22,3,2025-04-26 21:01:10.564000+00:00,152.64,376.16999999999996,4,1.179,0.408,0.513,0.0,0.0,True,12,0.2,0.8,223.53,188.08499999999998,-70.89000000000001,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
28,3,2025-04-26 21:01:11.077000+00:00,152.862,375.749,5,1.692,0.513,0.249,0.0,0.0,True,12,0.2,0.8,222.887,187.8745,-70.025,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
16,3,2025-04-26 21:01:11.326000+00:00,152.731,376.531,6,1.9409999999999998,0.249,0.193,0.0,0.0,True,12,0.2,0.8,223.8,188.2655,-71.06900000000002,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,204.5,cota,Circuit of the Americas,1,cota_r1
26,3,2025-04-26 21:01:11.519000+00:00,152.888,376.52700000000004,7,2.134,0.193,0.815,0.0,0.0,True,12,0.2,0.8,223.639,188.26350000000002,-70.751,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
24,3,2025-04-26 21:01:12.334000+00:00,153.59,376.856,8,2.949,0.815,1.3559999999999999,0.0,0.0,True,12,0.2,0.8,223.266,188.428,-69.67599999999999,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
47,3,2025-04-26 21:01:13.690000+00:00,154.826,378.44100000000003,9,4.305,1.3559999999999999,0.083,0.0,0.0,True,12,0.2,0.8,223.615,189.22050000000002,-68.78900000000002,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,206.1,cota,Circuit of the Americas,1,cota_r1
4,3,2025-04-26 21:01:13.773000+00:00,154.6,378.23900000000003,10,4.388,0.083,0.123,0.0,0.0,True,12,0.2,0.8,223.639,189.11950000000002,-69.03900000000002,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
25,3,2025-04-26 21:01:13.896000+00:00,154.599,377.88,11,4.511,0.123,0.339,0.0,0.0,True,12,0.2,0.8,223.281,188.94,-68.68200000000002,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
36,3,2025-04-26 21:01:14.235000+00:00,155.231,378.54499999999996,12,4.85,0.339,0.291,0.0,0.0,True,12,0.2,0.8,223.314,189.27249999999998,-68.083,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
65,3,2025-04-26 21:01:14.526000+00:00,154.85,378.359,13,5.141,0.291,1.053,0.0,0.0,True,12,0.2,0.8,223.509,189.1795,-68.65899999999999,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
29,3,2025-04-26 21:01:15.579000+00:00,155.449,378.595,14,6.194,1.053,0.183,0.0,0.0,True,12,0.2,0.8,223.146,189.2975,-67.69699999999997,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
63,3,2025-04-26 21:01:15.762000+00:00,156.226,379.791,15,6.377,0.183,0.976,0.0,0.0,True,12,0.2,0.8,223.565,189.8955,-67.339,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
38,3,2025-04-26 21:01:16.738000+00:00,157.112,380.11199999999997,16,7.353,0.976,3.035,0.0,0.0,True,12,0.2,0.8,223.0,190.05599999999998,-65.888,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
35,3,2025-04-26 21:01:19.773000+00:00,158.99,382.19,17,10.388,3.035,0.179,0.0,0.0,True,12,0.2,0.8,223.2,191.095,-64.20999999999998,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
49,3,2025-04-26 21:01:19.952000+00:00,159.931,383.569,18,10.567,0.179,0.391,0.0,0.0,True,12,0.2,0.8,223.638,191.7845,-63.706999999999994,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
37,3,2025-04-26 21:01:20.343000+00:00,160.179,383.084,19,10.958,0.391,0.245,0.0,0.0,True,12,0.2,0.8,222.905,191.542,-62.726,28.695909090909087,41.225,62.54681818181819,993.1068181818183,12.74727272727273,0,203.0,cota,Circuit of the Americas,1,cota_r1
